"","model","year","expected","Ecov"
"455","fit3",1996,580468.569465636,"noise1"
"456","fit3",1997,558714.712600551,"noise1"
"457","fit3",1998,465652.025515153,"noise1"
"458","fit3",1999,383413.311135698,"noise1"
"459","fit3",2000,318996.895445454,"noise1"
"460","fit3",2001,232424.882801731,"noise1"
"461","fit3",2002,247411.739645877,"noise1"
"462","fit3",2003,300062.713299561,"noise1"
"463","fit3",2004,323348.530447344,"noise1"
"464","fit3",2005,302040.438608634,"noise1"
"465","fit3",2006,234457.792363014,"noise1"
"466","fit3",2007,166954.53116858,"noise1"
"467","fit3",2008,155720.348519653,"noise1"
"468","fit3",2009,179299.444116323,"noise1"
"469","fit3",2010,344853.05565846,"noise1"
"470","fit3",2011,362067.144998019,"noise1"
"471","fit3",2012,326128.569959498,"noise1"
"472","fit3",2013,624501.339127295,"noise1"
"473","fit3",2014,564082.291835975,"noise1"
"474","fit3",2015,851536.012935374,"noise1"
"475","fit3",2016,833661.642367927,"noise1"
"476","fit3",2017,1274562.85282926,"noise1"
"477","fit3",2018,1178304.54588447,"noise1"
"478","fit3",2019,907009.727102791,"noise1"
"479","fit3",2020,482475.727697612,"noise1"
"480","fit3",2021,514866.037872707,"noise1"
"481","fit0",1992,625065.975315816,"noise2"
"482","fit0",1993,680701.159721045,"noise2"
"483","fit0",1994,713729.928113112,"noise2"
"484","fit0",1995,557438.76261183,"noise2"
"485","fit0",1996,491390.256746712,"noise2"
"486","fit0",1997,434993.460682654,"noise2"
"487","fit0",1998,351341.119536447,"noise2"
"488","fit0",1999,334925.730458733,"noise2"
"489","fit0",2000,314806.713702069,"noise2"
"490","fit0",2001,273665.298079375,"noise2"
"491","fit0",2002,277086.884664057,"noise2"
"492","fit0",2003,320929.83523152,"noise2"
"493","fit0",2004,352805.532363031,"noise2"
"494","fit0",2005,327890.212057613,"noise2"
"495","fit0",2006,307817.940496916,"noise2"
"496","fit0",2007,268696.000279873,"noise2"
"497","fit0",2008,313230.013159181,"noise2"
"498","fit0",2009,350633.101322952,"noise2"
"499","fit0",2010,520343.983635801,"noise2"
"500","fit0",2011,568533.579267813,"noise2"
"501","fit0",2012,518048.464512412,"noise2"
"502","fit0",2013,553120.216258917,"noise2"
